greek text,english text,neutral,positive,negative,narrator,y,class
"Τη μάνητα, θεά, τραγούδα μας του ξακουστού Αχιλλέα,",Apollo’s priest to th’ Argive fleet doth bring,0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]",positive
"ανάθεμα τη, πίκρες που 'δωκε στους Αχαιούς περίσσιες","Gifts for his daughter, pris’ner to the king;",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]",negative
και πλήθος αντρειωμένες έστειλε ψυχές στον Άδη κάτω,For which her tender’d freedom he entreats;,0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]",negative
"παλικαριών, στους σκύλους ρίχνοντας να φάνε τα κορμιά τους","But, being dismiss’d with contumelious threats,",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]",negative
και στα όρνια ολούθε —έτσι το θέλησε να γίνει τότε ο Δίας—,"At Phœbus’ hands, by vengeful pray’r, he seeks",0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]",neutral
"απ᾿ τη στιγμή που πρωτοπιάστηκαν και χώρισαν οι δυο τους,",To have a plague inflicted on the Greeks.,0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]",negative
του Ατρέα ο γιος ο στρατοκράτορας κι ο μέγας Αχιλλέας.,"Which had; Achilles doth a council cite,",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]",positive
Ποιος τάχα απ᾿ τους θεούς τους έσπρωξε να μπούνε σ᾿ έτοια αμάχη;,"Embold’ning Calchas, in the king’s despite;",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]",narrator
"Του Δία και της Λητώς τους έσπρωξεν ο γιος, που με το ρήγα",To tell the truth why they were punish’d so.,0.75,0.125,0.0,0.125,"[0.75, 0.125, 0.0, 0.125]",neutral
χολιάζοντας κακιά εξεσήκωσεν αρρώστια και πέθαιναν,From hence their fierce and deadly strife did grow.,0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]",negative
"στρατός πολύς᾿ τι δε σεβάστηκεν ο γιος του Ατρέα το Χρύση,","For wrong in which Æacides so raves,",0.5,0.0,0.5,0.0,"[0.5, 0.0, 0.5, 0.0]",neutral
του θεού το λειτουργό· στ᾿ Αργίτικα γοργά καράβια είχε έρθει,"That goddess Thetis, from her throne of waves",0.75,0.125,0.0,0.125,"[0.75, 0.125, 0.0, 0.125]",neutral
